SEX,STATUT,CSP,USAGE,K8000,RM,CAR,CLA,ALI,ENE,VIT,SEGM,CHARGE,GARAGE,AGECOND_CAT,ACV_CAT
M,A,AUTRE,Prive_Trajet,N,90,BER,A,CAR,ES,001-130,B,0.0,Autre,21_25,>=10
M,A,50,Prive_Trajet,N,60,BER,A,CAR,ES,001-130,A,0.0,Autre,25_35,>=10
M,A,50,Prive_Trajet,N,95,BER,A,INJ,ES,130-140,A,0.0,Autre,25_35,>=10
M,C,50,Prive,N,95,BER,A,CAR,ES,001-130,B,0.0,Collectif_Clos,25_35,>=10
M,A,50,Prive_Trajet,O,57,BER,A,CAR,ES,001-130,A,0.0,Autre,25_35,>=10
M,A,50,Prive_Trajet,O,85,BER,A,INJ,ES,140-150,B,0.0,Autre,25_35,5_9
M,C,50,Prive_Trajet,N,90,BER,A,CAR,ES,130-140,B,0.0,Autre,25_35,>=10
M,A,50,Prive,O,50,BER,A,CAR,ES,001-130,B,0.0,Individuel_Clos,45_55,>=10
M,A,50,Prive_Trajet,N,50,BER,A,INJ,ES,130-140,A,0.0,Autre,45_55,5_9
M,A,50,Prive,N,90,BER,A,INJ,ES,150-160,B,0.0,Autre,45_55,>=10
M,A,55,Professionnel,N,58,BER,A,INJ,ES,130-140,A,1093.413897,Autre,45_55,5_9
M,A,50,Prive_Trajet,N,57,BER,A,CAR,ES,001-130,B,0.0,Autre,25_35,>=10
M,A,50,Prive_Trajet,O,72,BER,A,INJ,ES,130-140,M1,0.0,Collectif_Clos,45_55,5_9
M,A,55,Prive_Trajet,N,50,BER,A,CAR,ES,001-130,0,0.0,Autre,35_45,>=10
M,C,50,Prive_Trajet,N,95,BER,A,CAR,ES,001-130,B,0.0,Autre,25_35,>=10
M,C,50,Prive,O,50,BER,A,CAR,ES,130-140,A,0.0,Autre,35_45,>=10
M,C,55,Prive_Trajet,N,54,BER,A,CAR,ES,001-130,B,0.0,Autre,35_45,>=10
M,A,50,Prive_Trajet,N,90,BER,A,CAR,ES,130-140,A,0.0,Autre,45_55,>=10
M,A,50,Prive_Trajet,O,50,BER,A,CAR,ES,001-130,A,0.0,Autre,55_70,>=10
M,A,60,Prive,N,50,BER,A,CAR,ES,150-160,0,0.0,Autre,55_70,>=10
M,A,60,Prive,N,50,BER,A,CAR,ES,160-170,0,0.0,Autre,>70,>=10
M,C,50,Prive,O,72,BER,A,CAR,ES,001-130,0,0.0,Autre,25_35,>=10
M,C,50,Prive_Trajet,N,95,BER,A,CAR,ES,001-130,A,0.0,Autre,25_35,>=10
M,C,50,Prive_Trajet,N,95,BER,A,CAR,ES,001-130,A,0.0,Autre,45_55,>=10
M,C,50,Professionnel,N,50,BER,A,CAR,ES,130-140,A,0.0,Autre,45_55,>=10
M,C,50,Prive_Trajet,O,54,BER,A,CAR,ES,150-160,A,0.0,Autre,35_45,>=10
M,A,50,Prive_Trajet,O,50,BER,A,CAR,ES,001-130,B,0.0,Autre,25_35,>=10
M,A,50,Prive,O,50,BER,A,CAR,ES,001-130,A,0.0,Autre,35_45,>=10
M,A,50,Prive_Trajet,N,50,BER,A,CAR,ES,001-130,B,0.0,Autre,55_70,>=10
M,A,60,Prive,O,50,BER,A,CAR,ES,150-160,0,0.0,Autre,55_70,>=10
M,C,1,Prive_Trajet,N,50,BER,A,CAR,ES,130-140,A,0.0,Individuel_Clos,35_45,>=10
M,C,50,Prive_Trajet,N,85,BER,A,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
M,A,50,Prive,O,50,BER,A,CAR,ES,001-130,B,0.0,Autre,45_55,>=10
M,C,50,Prive,N,68,BER,A,CAR,ES,001-130,B,0.0,Autre,25_35,>=10
M,C,55,Prive,N,85,BER,A,INJ,ES,130-140,A,0.0,Autre,25_35,5_9
M,A,AUTRE,Prive,N,85,BER,A,CAR,ES,001-130,B,0.0,Autre,45_55,>=10
M,A,50,Prive,N,95,BER,A,CAR,ES,001-130,B,0.0,Autre,35_45,>=10
M,C,50,Prive_Trajet,N,68,BER,A,CAR,ES,001-130,B,0.0,Autre,35_45,>=10
M,A,1,Prive,N,95,BER,A,CAR,ES,001-130,A,0.0,Autre,45_55,>=10
M,A,50,Prive_Trajet,N,54,BER,A,INJ,ES,140-150,B,0.0,Autre,25_35,5_9
M,C,AUTRE,Prive_Trajet,N,57,BER,A,INJ,ES,130-140,A,0.0,Autre,25_35,5_9
M,A,50,Prive_Trajet,N,90,BER,A,CAR,ES,001-130,A,0.0,Autre,35_45,>=10
M,A,50,Prive,O,55,BER,A,CAR,ES,001-130,B,0.0,Autre,55_70,>=10
M,A,50,Prive,N,60,BER,A,CAR,ES,130-140,B,0.0,Autre,45_55,>=10
M,A,50,Prive_Trajet,O,50,BER,A,INJ,ES,130-140,A,0.0,Autre,45_55,2_4
F,A,50,Prive,N,90,BER,A,CAR,ES,001-130,B,0.0,Autre,21_25,>=10
F,C,AUTRE,Prive_Trajet,N,118,BER,A,CAR,ES,001-130,A,0.0,Collectif_Clos,25_35,>=10
M,A,60,Prive,O,50,BER,A,CAR,ES,001-130,B,0.0,Autre,55_70,>=10
F,C,50,Prive_Trajet,N,50,BER,A,CAR,ES,130-140,A,0.0,Individuel_Clos,35_45,>=10
F,C,50,Prive_Trajet,O,50,BER,A,CAR,ES,001-130,0,0.0,Autre,45_55,>=10
F,A,60,Prive,O,50,BER,A,CAR,ES,001-130,0,0.0,Autre,55_70,>=10
M,A,50,Prive_Trajet,N,54,BER,A,INJ,ES,130-140,A,0.0,Autre,45_55,5_9
M,A,50,Prive,O,50,BER,A,CAR,ES,130-140,A,0.0,Autre,45_55,>=10
F,A,50,Prive_Trajet,N,95,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
F,A,50,Prive_Trajet,O,50,BER,B,INJ,ES,140-150,B,0.0,Autre,45_55,5_9
F,C,50,Prive_Trajet,N,95,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
F,C,50,Prive,N,72,BER,B,INJ,ES,150-160,A,0.0,Autre,45_55,5_9
F,A,50,Prive,N,50,BER,B,CAR,ES,140-150,B,0.0,Autre,45_55,>=10
F,C,AUTRE,Prive_Trajet,N,95,BER,B,CAR,ES,001-130,B,0.0,Autre,<=21,>=10
F,A,60,Prive,N,50,BER,B,CAR,ES,001-130,0,0.0,Autre,55_70,>=10
F,A,AUTRE,Prive,N,95,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
M,A,AUTRE,Professionnel,N,60,BER,B,CAR,ES,140-150,B,0.0,Autre,35_45,>=10
M,C,50,Prive_Trajet,N,80,BER,B,CAR,ES,001-130,B,0.0,Autre,25_35,>=10
M,C,50,Prive_Trajet,N,100,BER,B,CAR,ES,130-140,A,0.0,Autre,45_55,>=10
M,C,50,Prive_Trajet,N,50,BER,B,CAR,ES,140-150,B,0.0,Autre,35_45,>=10
M,A,60,Prive,O,50,BER,B,CAR,ES,130-140,B,0.0,Autre,55_70,>=10
M,A,50,Prive_Trajet,N,50,BER,B,CAR,ES,140-150,B,0.0,Autre,45_55,>=10
F,A,60,Prive,N,50,BER,B,INJ,ES,140-150,A,2065.468278,Autre,>70,2_4
F,A,55,Prive,N,95,BER,B,CAR,ES,130-140,A,0.0,Autre,35_45,>=10
F,A,AUTRE,Prive,N,68,BER,B,CAR,ES,140-150,A,0.0,Autre,45_55,>=10
F,A,50,Prive,N,90,BER,B,CAR,ES,001-130,A,0.0,Autre,35_45,>=10
F,C,50,Prive,O,57,BER,B,CAR,ES,130-140,B,0.0,Individuel_Clos,45_55,>=10
F,A,1,Prive,N,50,BER,B,CAR,ES,130-140,A,0.0,Autre,35_45,>=10
F,C,1,Prive_Trajet,N,90,BER,B,CAR,ES,140-150,B,0.0,Autre,35_45,>=10
F,A,60,Prive,N,50,BER,B,INJ,ES,140-150,A,0.0,Autre,>70,5_9
F,C,50,Prive_Trajet,O,50,BER,B,CAR,ES,150-160,B,0.0,Autre,35_45,>=10
F,A,55,Prive,O,68,BER,B,INJ,ES,140-150,B,0.0,Autre,25_35,5_9
F,A,60,Prive,O,50,BER,B,CAR,ES,140-150,A,0.0,Autre,55_70,>=10
F,A,1,Prive,N,72,BER,B,CAR,ES,140-150,A,0.0,Autre,25_35,>=10
F,A,50,Prive_Trajet,N,76,BER,B,CAR,ES,130-140,0,0.0,Autre,35_45,>=10
F,A,50,Prive,N,95,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
F,A,60,Prive,N,50,BER,B,CAR,ES,140-150,0,0.0,Autre,55_70,>=10
F,C,50,Professionnel,N,51,BER,B,CAR,ES,130-140,A,0.0,Autre,35_45,>=10
F,A,50,Prive_Trajet,N,50,BER,B,CAR,ES,140-150,B,0.0,Autre,35_45,>=10
F,A,50,Prive_Trajet,N,50,BER,B,CAR,ES,130-140,B,0.0,Autre,35_45,>=10
F,A,50,Prive_Trajet,N,50,BER,B,CAR,ES,130-140,B,0.0,Autre,45_55,>=10
F,A,50,Prive_Trajet,N,72,BER,B,CAR,ES,140-150,B,0.0,Autre,45_55,>=10
F,A,55,Prive,O,50,BER,B,CAR,ES,001-130,B,0.0,Autre,>70,>=10
F,C,AUTRE,Prive_Trajet,N,95,BER,B,CAR,ES,150-160,B,0.0,Autre,<=21,>=10
F,A,50,Prive_Trajet,O,54,BER,B,CAR,ES,001-130,B,0.0,Autre,25_35,>=10
F,A,50,Prive_Trajet,O,72,BER,B,CAR,ES,001-130,A,0.0,Autre,35_45,>=10
F,A,50,Prive,O,85,BER,B,CAR,ES,140-150,A,0.0,Autre,25_35,>=10
F,A,50,Prive_Trajet,N,50,BER,B,CAR,ES,150-160,B,0.0,Autre,55_70,>=10
F,C,AUTRE,Prive_Trajet,N,90,BER,B,CAR,ES,140-150,B,0.0,Autre,21_25,>=10
F,C,AUTRE,Prive_Trajet,N,68,BER,B,INJ,ES,140-150,B,0.0,Autre,25_35,5_9
F,C,60,Prive,N,50,BER,B,CAR,ES,140-150,B,0.0,Autre,55_70,>=10
F,A,50,Prive_Trajet,N,95,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
F,A,50,Prive_Trajet,O,68,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
F,A,50,Prive_Trajet,N,55,BER,B,INJ,ES,140-150,A,0.0,Autre,45_55,2_4
F,C,AUTRE,Prive_Trajet,N,95,BER,B,CAR,ES,140-150,B,0.0,Autre,21_25,>=10
F,C,50,Prive_Trajet,O,72,BER,B,CAR,ES,130-140,A,0.0,Autre,25_35,>=10
F,C,50,Professionnel,N,95,BER,B,CAR,ES,140-150,A,0.0,Autre,21_25,>=10
F,A,AUTRE,Prive,N,50,BER,B,INJ,ES,130-140,A,0.0,Autre,35_45,2_4
F,A,50,Prive,N,60,BER,B,CAR,ES,001-130,B,0.0,Autre,25_35,>=10
F,A,50,Prive_Trajet,N,50,BER,B,CAR,ES,001-130,A,0.0,Autre,45_55,>=10
F,A,50,Prive,O,57,BER,B,CAR,ES,130-140,B,0.0,Autre,35_45,>=10
F,A,50,Prive_Trajet,O,85,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
F,A,50,Prive,N,50,BER,B,CAR,ES,140-150,B,0.0,Collectif_Clos,45_55,>=10
F,A,50,Prive,N,50,BER,B,CAR,ES,140-150,B,0.0,Autre,45_55,>=10
F,A,50,Prive_Trajet,N,95,BER,B,INJ,ES,140-150,B,0.0,Autre,45_55,5_9
F,A,50,Prive_Trajet,N,50,BER,B,INJ,ES,140-150,A,0.0,Autre,55_70,5_9
F,A,60,Prive,O,50,BER,B,INJ,ES,130-140,A,0.0,Collectif_Clos,>70,5_9
F,C,50,Prive_Trajet,N,90,BER,B,INJ,ES,140-150,A,0.0,Autre,25_35,>=10
F,C,50,Prive_Trajet,N,90,BER,B,INJ,ES,140-150,A,0.0,Autre,25_35,0_1
F,A,50,Prive,N,50,BER,B,CAR,ES,140-150,B,0.0,Autre,45_55,>=10
F,C,55,Prive,N,95,BER,B,CAR,ES,140-150,B,0.0,Collectif_Clos,45_55,>=10
F,A,AUTRE,Prive,N,50,BER,B,CAR,ES,140-150,B,0.0,Autre,>70,>=10
F,C,AUTRE,Prive,N,95,BER,B,CAR,ES,130-140,B,0.0,Collectif_Clos,25_35,>=10
F,A,1,Professionnel,N,52,BER,B,CAR,ES,130-140,A,0.0,Autre,55_70,>=10
F,A,55,Prive_Trajet,N,54,BER,B,INJ,ES,150-160,A,0.0,Autre,35_45,5_9
F,C,1,Prive_Trajet,N,50,BER,B,INJ,ES,140-150,A,0.0,Autre,55_70,2_4
F,A,50,Prive_Trajet,N,80,BER,B,CAR,ES,001-130,B,0.0,Autre,35_45,>=10
F,A,60,Prive,N,50,BER,B,CAR,ES,001-130,B,0.0,Autre,>70,>=10
F,C,50,Prive_Trajet,N,95,BER,B,INJ,ES,140-150,B,0.0,Autre,<=21,5_9
M,C,AUTRE,Prive_Trajet,N,85,BER,B,INJ,ES,130-140,A,0.0,Autre,25_35,5_9
M,C,50,Prive_Trajet,O,50,BER,B,CAR,ES,001-130,0,0.0,Autre,45_55,>=10
M,C,50,Prive_Trajet,N,106,BER,B,CAR,ES,140-150,B,0.0,Autre,45_55,>=10
M,C,50,Professionnel,N,100,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
M,A,50,Prive,O,62,BER,B,CAR,ES,150-160,0,0.0,Collectif_Clos,55_70,>=10
M,A,50,Prive_Trajet,N,55,BER,B,CAR,ES,140-150,B,0.0,Autre,45_55,>=10
M,C,AUTRE,Prive,N,95,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
M,A,50,Prive_Trajet,N,90,BER,B,CAR,ES,001-130,A,0.0,Autre,35_45,>=10
M,A,60,Prive,N,50,BER,B,CAR,ES,130-140,B,0.0,Autre,55_70,>=10
M,C,50,Prive_Trajet,N,90,BER,B,CAR,ES,130-140,B,0.0,Collectif_Clos,25_35,>=10
M,C,60,Prive,N,95,BER,B,CAR,ES,140-150,A,0.0,Autre,45_55,>=10
M,C,50,Prive_Trajet,N,76,BER,B,INJ,ES,140-150,B,0.0,Collectif_Clos,25_35,5_9
M,A,50,Prive_Trajet,N,50,BER,B,CAR,ES,140-150,A,0.0,Autre,45_55,>=10
M,A,50,Prive_Trajet,N,50,BER,B,CAR,ES,140-150,B,0.0,Autre,55_70,>=10
M,A,55,Prive_Trajet,N,95,BER,B,CAR,ES,001-130,B,0.0,Autre,25_35,>=10
M,C,50,Prive_Trajet,N,80,BER,B,INJ,ES,140-150,A,0.0,Autre,45_55,0_1
M,A,AUTRE,Prive,O,50,BER,B,CAR,ES,140-150,B,0.0,Collectif_Clos,25_35,>=10
M,C,AUTRE,Prive_Trajet,N,90,BER,B,CAR,ES,130-140,A,0.0,Autre,<=21,>=10
M,A,AUTRE,Prive,N,59,BER,B,INJ,ES,140-150,B,0.0,Collectif_Clos,25_35,5_9
M,A,AUTRE,Professionnel,N,64,BER,B,CAR,ES,001-130,B,0.0,Autre,25_35,>=10
M,A,50,Prive_Trajet,O,50,BER,B,CAR,ES,001-130,A,0.0,Collectif_Clos,25_35,>=10
M,A,50,Prive,N,95,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
M,A,50,Prive_Trajet,O,50,BER,B,CAR,ES,140-150,A,0.0,Autre,45_55,>=10
M,A,60,Prive,O,54,BER,B,CAR,ES,140-150,B,0.0,Autre,55_70,>=10
M,C,50,Prive_Trajet,O,57,BER,B,CAR,ES,130-140,B,0.0,Autre,25_35,>=10
M,C,50,Prive_Trajet,N,90,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
M,C,50,Prive_Trajet,O,50,BER,B,CAR,ES,140-150,B,0.0,Autre,35_45,>=10
M,C,50,Prive_Trajet,N,57,BER,B,CAR,ES,150-160,B,0.0,Autre,25_35,>=10
M,A,50,Prive_Trajet,O,57,BER,B,CAR,ES,130-140,B,0.0,Autre,45_55,>=10
M,A,50,Prive_Trajet,N,58,BER,B,CAR,ES,140-150,B,0.0,Autre,55_70,>=10
M,A,50,Prive,O,50,BER,B,INJ,ES,140-150,A,0.0,Autre,55_70,2_4
M,A,55,Prive,N,50,BER,B,CAR,ES,001-130,B,0.0,Collectif_Clos,45_55,>=10
M,A,60,Prive,O,50,BER,B,CAR,ES,150-160,0,0.0,Individuel_Clos,>70,>=10
M,C,50,Prive_Trajet,N,90,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
M,C,50,Prive_Trajet,N,64,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
M,C,50,Prive,N,50,BER,B,INJ,ES,130-140,A,0.0,Collectif_Clos,>70,5_9
M,C,50,Prive_Trajet,N,95,BER,B,INJ,ES,140-150,B,0.0,Autre,45_55,5_9
M,A,50,Prive_Trajet,N,85,BER,B,CAR,ES,130-140,B,0.0,Autre,25_35,>=10
M,A,60,Prive,O,50,BER,B,CAR,ES,130-140,A,0.0,Autre,>70,>=10
M,C,50,Prive,N,54,BER,B,CAR,ES,001-130,A,0.0,Individuel_Clos,25_35,>=10
M,C,50,Prive_Trajet,N,72,BER,B,CAR,ES,130-140,B,0.0,Individuel_Clos,25_35,>=10
M,A,50,Prive_Trajet,N,50,BER,B,CAR,ES,140-150,B,0.0,Autre,45_55,>=10
M,A,50,Prive,N,50,BER,B,CAR,ES,140-150,B,0.0,Collectif_Clos,>70,>=10
M,C,AUTRE,Prive_Trajet,N,125,BER,B,CAR,ES,140-150,B,0.0,Autre,<=21,>=10
M,C,50,Prive_Trajet,N,85,BER,B,CAR,ES,140-150,B,0.0,Autre,25_35,>=10
M,A,50,Prive,N,50,BER,B,INJ,ES,130-140,A,0.0,Autre,35_45,5_9
M,A,50,Prive_Trajet,N,90,BER,B,INJ,ES,140-150,B,0.0,Autre,25_35,5_9
M,A,50,Prive_Trajet,N,54,BER,B,INJ,ES,140-150,B,0.0,Autre,25_35,5_9
M,A,55,Prive_Trajet,N,56,BER,B,CAR,ES,001-130,B,0.0,Autre,35_45,>=10
M,A,60,Prive,O,62,BER,B,CAR,ES,140-150,B,0.0,Autre,55_70,>=10
F,A,55,Prive_Trajet,N,90,BER,B,CAR,ES,140-150,B,0.0,Autre,45_55,>=10
M,A,AUTRE,Professionnel,N,80,BER,B,CAR,ES,130-140,A,0.0,Autre,25_35,5_9
M,A,60,Prive,O,51,BER,B,CAR,ES,130-140,A,0.0,Autre,55_70,5_9
M,C,55,Prive,O,50,BER,B,CAR,ES,150-160,B,0.0,Autre,35_45,>=10
M,A,60,Prive,N,50,BER,B,CAR,ES,130-140,B,0.0,Autre,55_70,>=10
F,C,55,Prive_Trajet,N,50,BER,B,CAR,ES,001-130,A,0.0,Autre,>70,>=10
F,C,1,Professionnel,N,100,BER,B,INJ,ES,140-150,B,0.0,Autre,25_35,5_9
F,A,50,Prive_Trajet,N,100,BER,B,CAR,ES,140-150,B,0.0,Autre,45_55,>=10
M,A,50,Prive_Trajet,N,50,BER,B,CAR,ES,140-150,A,0.0,Autre,35_45,>=10
