ACV,SEX,STATUT,CSP,USAGE,AGECOND,K8000,RM,CAR,CLA,ALI,ENE,VIT,SEGM,CHARGE,GARAGE
9,F,C,CSP_50,Prive,30,O,54,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,27,N,100,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
9,F,C,CSP_50,PriveTrajet,37,O,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_AUTRE,Professionnel,57,N,50,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,45,N,60,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,29,N,54,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,32,O,68,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,ClosCollectif
10,F,A,CSP_50,Professionnel,40,N,50,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,31,N,76,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
2,F,A,CSP_50,PriveTrajet,36,O,68,CAR_BERLINE,A,CAR,ES,140-150,B,0.0,GarageAutre
5,F,A,CSP_50,PriveTrajet,26,N,95,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
9,F,A,CSP_50,PriveTrajet,37,O,60,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_AUTRE,PriveTrajet,48,N,95,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,31,N,68,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,F,C,CSP_50,Prive,25,N,95,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,IndividuelClos
10,F,C,CSP_50,PriveTrajet,26,N,90,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
7,F,C,CSP_50,Professionnel,26,N,90,CAR_BERLINE,A,INJ,ES,140-150,B,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,56,N,85,CAR_BERLINE,A,CAR,ES,140-150,B,0.0,GarageAutre
10,F,A,CSP_50,Prive,26,N,95,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,40,O,64,CAR_BERLINE,A,CAR,ES,130-140,0,0.0,GarageAutre
9,F,A,CSP_50,PriveTrajet,52,N,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_60,Prive,80,O,53,CAR_BERLINE,A,CAR,ES,150-160,A,0.0,IndividuelClos
10,F,C,CSP_AUTRE,Prive,29,N,95,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
9,F,C,CSP_AUTRE,PriveTrajet,20,N,95,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,32,N,90,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,58,O,69,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
9,F,A,CSP_50,Professionnel,60,N,57,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,37,N,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
4,F,A,CSP_50,PriveTrajet,62,O,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,F,C,CSP_50,Professionnel,29,N,80,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
7,F,C,CSP_50,PriveTrajet,24,N,95,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,31,N,51,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,30,O,72,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,ClosCollectif
10,F,C,CSP_AUTRE,PriveTrajet,24,N,95,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,31,N,72,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,60,O,50,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,27,N,76,CAR_BERLINE,A,CAR,ES,001-130,A,164.3891239,GarageAutre
10,F,A,CSP_50,PriveTrajet,35,N,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
7,F,A,CSP_50,Prive,62,O,90,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,21,N,85,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
9,F,C,CSP_AUTRE,Prive,65,O,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,ClosCollectif
10,F,A,CSP_50,PriveTrajet,37,N,60,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
1,F,A,CSP_60,Prive,65,N,58,CAR_BERLINE,A,CAR,ES,140-150,B,2111.0429,GarageAutre
10,F,C,CSP_50,PriveTrajet,24,O,85,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
9,F,C,CSP_50,PriveTrajet,30,N,76,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
7,F,C,CSP_50,PriveTrajet,24,N,72,CAR_BERLINE,A,INJ,ES,150-160,B,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,37,N,60,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
10,M,A,CSP_AUTRE,Prive,50,N,50,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,C,CSP_50,Prive,33,N,118,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,C,CSP_50,Prive,49,O,50,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
7,M,A,CSP_AUTRE,Prive,47,N,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,43,N,50,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
7,M,A,CSP_AUTRE,Professionnel,49,N,73,CAR_BERLINE,A,INJ,ES,150-160,B,0.0,GarageAutre
10,M,A,CSP_50,Professionnel,34,N,85,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,M,A,CSP_AUTRE,PriveTrajet,22,N,90,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,27,N,60,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,32,N,95,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,M,C,CSP_50,Prive,33,N,95,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,ClosCollectif
10,M,A,CSP_50,PriveTrajet,30,O,57,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
9,M,A,CSP_50,PriveTrajet,35,O,85,CAR_BERLINE,A,INJ,ES,140-150,B,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,32,N,90,CAR_BERLINE,A,CAR,ES,130-140,B,0.0,GarageAutre
10,M,A,CSP_50,Prive,52,O,50,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,IndividuelClos
9,M,A,CSP_50,PriveTrajet,51,N,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,M,A,CSP_50,Prive,52,N,90,CAR_BERLINE,A,INJ,ES,150-160,B,0.0,GarageAutre
7,M,A,CSP_AUTRE,Professionnel,55,N,58,CAR_BERLINE,A,INJ,ES,130-140,A,1093.413897,GarageAutre
10,M,A,CSP_50,PriveTrajet,28,N,57,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
9,M,A,CSP_50,PriveTrajet,50,O,72,CAR_BERLINE,A,INJ,ES,130-140,M1,0.0,ClosCollectif
10,M,A,CSP_AUTRE,PriveTrajet,37,N,50,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,34,N,95,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,C,CSP_50,Prive,36,O,50,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,M,C,CSP_AUTRE,PriveTrajet,41,N,54,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,50,N,90,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,58,O,50,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
10,M,A,CSP_60,Prive,64,N,50,CAR_BERLINE,A,CAR,ES,150-160,0,0.0,GarageAutre
10,M,A,CSP_60,Prive,76,N,50,CAR_BERLINE,A,CAR,ES,160-170,0,0.0,GarageAutre
10,M,C,CSP_50,Prive,31,O,72,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,33,N,95,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,48,N,95,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
10,M,C,CSP_50,Professionnel,53,N,50,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,38,O,54,CAR_BERLINE,A,CAR,ES,150-160,A,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,34,O,50,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,A,CSP_50,Prive,39,O,50,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,57,N,50,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,A,CSP_60,Prive,65,O,50,CAR_BERLINE,A,CAR,ES,150-160,0,0.0,GarageAutre
10,M,C,CSP_AUTRE,PriveTrajet,37,N,50,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,IndividuelClos
10,M,C,CSP_50,PriveTrajet,32,N,85,CAR_BERLINE,A,CAR,ES,140-150,B,0.0,GarageAutre
10,M,A,CSP_50,Prive,47,O,50,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,C,CSP_50,Prive,29,N,68,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
9,M,C,CSP_AUTRE,Prive,34,N,85,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,M,A,CSP_AUTRE,Prive,49,N,85,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,A,CSP_50,Prive,42,N,95,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,37,N,68,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,A,CSP_AUTRE,Prive,54,N,95,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
9,M,A,CSP_50,PriveTrajet,31,N,54,CAR_BERLINE,A,INJ,ES,140-150,B,0.0,GarageAutre
9,M,C,CSP_AUTRE,PriveTrajet,30,N,57,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,45,N,90,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,GarageAutre
10,M,A,CSP_50,Prive,57,O,55,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,M,A,CSP_50,Prive,51,N,60,CAR_BERLINE,A,CAR,ES,130-140,B,0.0,GarageAutre
2,M,A,CSP_50,PriveTrajet,48,O,50,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,23,N,90,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,32,N,118,CAR_BERLINE,A,CAR,ES,001-130,A,0.0,ClosCollectif
10,M,A,CSP_60,Prive,70,O,50,CAR_BERLINE,A,CAR,ES,001-130,B,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,40,N,50,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,IndividuelClos
10,F,C,CSP_50,PriveTrajet,55,O,50,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
10,F,A,CSP_60,Prive,63,O,50,CAR_BERLINE,A,CAR,ES,001-130,0,0.0,GarageAutre
9,M,A,CSP_50,PriveTrajet,47,N,54,CAR_BERLINE,A,INJ,ES,130-140,A,0.0,GarageAutre
10,M,A,CSP_50,Prive,51,O,50,CAR_BERLINE,A,CAR,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,35,N,95,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
7,F,A,CSP_50,PriveTrajet,55,O,50,CAR_BERLINE,B,INJ,ES,140-150,B,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,29,N,95,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
5,F,C,CSP_50,Prive,51,N,72,CAR_BERLINE,B,INJ,ES,150-160,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,52,N,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,19,N,95,CAR_BERLINE,B,CAR,ES,001-130,B,0.0,GarageAutre
10,F,A,CSP_60,Prive,61,N,50,CAR_BERLINE,B,CAR,ES,001-130,0,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,28,N,95,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,M,A,CSP_AUTRE,Professionnel,44,N,60,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,28,N,80,CAR_BERLINE,B,CAR,ES,001-130,B,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,51,N,100,CAR_BERLINE,B,CAR,ES,130-140,A,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,36,N,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,M,A,CSP_60,Prive,70,O,50,CAR_BERLINE,B,CAR,ES,130-140,B,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,50,N,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
3,F,A,CSP_60,Prive,79,N,50,CAR_BERLINE,B,INJ,ES,140-150,A,2065.468278,GarageAutre
10,F,A,CSP_AUTRE,Prive,41,N,95,CAR_BERLINE,B,CAR,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,49,N,68,CAR_BERLINE,B,CAR,ES,140-150,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,41,N,90,CAR_BERLINE,B,CAR,ES,001-130,A,0.0,GarageAutre
10,F,C,CSP_50,Prive,46,O,57,CAR_BERLINE,B,CAR,ES,130-140,B,0.0,IndividuelClos
10,F,A,CSP_AUTRE,Prive,41,N,50,CAR_BERLINE,B,CAR,ES,130-140,A,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,36,N,90,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
5,F,A,CSP_60,Prive,80,N,50,CAR_BERLINE,B,INJ,ES,140-150,A,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,44,O,50,CAR_BERLINE,B,CAR,ES,150-160,B,0.0,GarageAutre
9,F,A,CSP_AUTRE,Prive,33,O,68,CAR_BERLINE,B,INJ,ES,140-150,B,0.0,GarageAutre
10,F,A,CSP_60,Prive,65,O,50,CAR_BERLINE,B,CAR,ES,140-150,A,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,32,N,72,CAR_BERLINE,B,CAR,ES,140-150,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,39,N,76,CAR_BERLINE,B,CAR,ES,130-140,0,0.0,GarageAutre
10,F,A,CSP_50,Prive,28,N,95,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,F,A,CSP_60,Prive,67,N,50,CAR_BERLINE,B,CAR,ES,140-150,0,0.0,GarageAutre
10,F,C,CSP_50,Professionnel,38,N,51,CAR_BERLINE,B,CAR,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,37,N,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,42,N,50,CAR_BERLINE,B,CAR,ES,130-140,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,53,N,50,CAR_BERLINE,B,CAR,ES,130-140,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,48,N,72,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,78,O,50,CAR_BERLINE,B,CAR,ES,001-130,B,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,21,N,95,CAR_BERLINE,B,CAR,ES,150-160,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,30,O,54,CAR_BERLINE,B,CAR,ES,001-130,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,42,O,72,CAR_BERLINE,B,CAR,ES,001-130,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,34,O,85,CAR_BERLINE,B,CAR,ES,140-150,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,59,N,50,CAR_BERLINE,B,CAR,ES,150-160,B,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,24,N,90,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
7,F,C,CSP_AUTRE,PriveTrajet,27,N,68,CAR_BERLINE,B,INJ,ES,140-150,B,0.0,GarageAutre
10,F,C,CSP_60,Prive,70,N,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,31,N,95,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,35,O,68,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
4,F,A,CSP_50,PriveTrajet,55,N,55,CAR_BERLINE,B,INJ,ES,140-150,A,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,24,N,95,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,26,O,72,CAR_BERLINE,B,CAR,ES,130-140,A,0.0,GarageAutre
10,F,C,CSP_50,Professionnel,25,N,95,CAR_BERLINE,B,CAR,ES,140-150,A,0.0,GarageAutre
3,F,A,CSP_AUTRE,Prive,39,N,50,CAR_BERLINE,B,INJ,ES,130-140,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,32,N,60,CAR_BERLINE,B,CAR,ES,001-130,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,55,N,50,CAR_BERLINE,B,CAR,ES,001-130,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,39,O,57,CAR_BERLINE,B,CAR,ES,130-140,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,29,O,85,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,F,A,CSP_50,Prive,49,N,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,ClosCollectif
10,F,A,CSP_50,Prive,50,N,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
9,F,A,CSP_50,PriveTrajet,53,N,95,CAR_BERLINE,B,INJ,ES,140-150,B,0.0,GarageAutre
9,F,A,CSP_50,PriveTrajet,65,N,50,CAR_BERLINE,B,INJ,ES,140-150,A,0.0,GarageAutre
7,F,A,CSP_60,Prive,77,O,50,CAR_BERLINE,B,INJ,ES,130-140,A,0.0,ClosCollectif
10,F,C,CSP_50,PriveTrajet,29,N,90,CAR_BERLINE,B,INJ,ES,140-150,A,0.0,GarageAutre
1,F,C,CSP_50,PriveTrajet,31,N,90,CAR_BERLINE,B,INJ,ES,140-150,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,53,N,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,F,C,CSP_AUTRE,Prive,55,N,95,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,ClosCollectif
10,F,A,CSP_AUTRE,Prive,71,N,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,F,C,CSP_AUTRE,Prive,26,N,95,CAR_BERLINE,B,CAR,ES,130-140,B,0.0,ClosCollectif
10,F,A,CSP_AUTRE,Professionnel,61,N,52,CAR_BERLINE,B,CAR,ES,130-140,A,0.0,GarageAutre
5,F,A,CSP_AUTRE,PriveTrajet,39,N,54,CAR_BERLINE,B,INJ,ES,150-160,A,0.0,GarageAutre
3,F,C,CSP_AUTRE,PriveTrajet,57,N,50,CAR_BERLINE,B,INJ,ES,140-150,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,41,N,80,CAR_BERLINE,B,CAR,ES,001-130,B,0.0,GarageAutre
10,F,A,CSP_60,Prive,82,N,50,CAR_BERLINE,B,CAR,ES,001-130,B,0.0,GarageAutre
7,F,C,CSP_50,PriveTrajet,21,N,95,CAR_BERLINE,B,INJ,ES,140-150,B,0.0,GarageAutre
7,M,C,CSP_AUTRE,PriveTrajet,27,N,85,CAR_BERLINE,B,INJ,ES,130-140,A,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,51,O,50,CAR_BERLINE,B,CAR,ES,001-130,0,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,54,N,106,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,M,C,CSP_50,Professionnel,26,N,100,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,M,A,CSP_50,Prive,59,O,62,CAR_BERLINE,B,CAR,ES,150-160,0,0.0,ClosCollectif
10,M,A,CSP_50,PriveTrajet,48,N,55,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,M,C,CSP_AUTRE,Prive,28,N,95,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,36,N,90,CAR_BERLINE,B,CAR,ES,001-130,A,0.0,GarageAutre
10,M,A,CSP_60,Prive,66,N,50,CAR_BERLINE,B,CAR,ES,130-140,B,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,28,N,90,CAR_BERLINE,B,CAR,ES,130-140,B,0.0,ClosCollectif
10,M,C,CSP_60,Prive,50,N,95,CAR_BERLINE,B,CAR,ES,140-150,A,0.0,GarageAutre
9,M,C,CSP_50,PriveTrajet,32,N,76,CAR_BERLINE,B,INJ,ES,140-150,B,0.0,ClosCollectif
10,M,A,CSP_50,PriveTrajet,46,N,50,CAR_BERLINE,B,CAR,ES,140-150,A,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,60,N,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,GarageAutre
10,M,A,CSP_AUTRE,PriveTrajet,34,N,95,CAR_BERLINE,B,CAR,ES,001-130,B,0.0,GarageAutre
0,M,C,CSP_50,PriveTrajet,54,N,80,CAR_BERLINE,B,INJ,ES,140-150,A,0.0,GarageAutre
10,M,A,CSP_AUTRE,Prive,34,O,50,CAR_BERLINE,B,CAR,ES,140-150,B,0.0,ClosCollectif
10,M,C,CSP_AUTRE,PriveTrajet,21,N,90,CAR_BERLINE,B,CAR,ES,130-140,A,0.0,GarageAutre
