"","CLM_AMT5","KIDSDRIV","TRAVTIME","CAR_USE","BLUEBOOK","RETAINED","NPOLICY","CAR_TYPE","RED_CAR","REVOLKED","MVR_PTS","AGE","HOMEKIDS","YOJ","INCOME","GENDER","MARRIED","PARENT1","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","AREA","CAR_TYPE_2","CAR_TYPE_3","CAR_TYPE_4","CAR_TYPE_5","CAR_TYPE_6","JOBCLASS_2","JOBCLASS_3","JOBCLASS_4","JOBCLASS_5","JOBCLASS_6","JOBCLASS_7","JOBCLASS_8","JOBCLASS_9","MAX_EDUC_2","MAX_EDUC_3","MAX_EDUC_4","MAX_EDUC_5"
"11",2.374,1,0.66653974213159,2,0.392749839529438,-1.05292991652322,2,6,2,2,10,-0.910561861512467,2,0.59153364436871,0.585851818964037,2,2,1,2,2,1.40064761636307,-0.234337731385998,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"12",0,0,0.0364261472121273,1,-0.260912894187523,-1.05292991652322,1,5,1,1,0,-1.25914073242436,0,-0.118364619919922,0.366970575756322,1,1,1,3,2,-1.21199556372061,-1.30659516563672,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"13",0,0,0.918585180099375,2,0.529393017143284,0.40683799844656,1,6,1,1,1,0.59994657910574,0,-0.865810940123452,0.582038468206492,2,1,1,8,2,-1.21199556372061,1.55275799236521,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"14",0,0,-1.16078968313485,1,0.51144418994,-1.05292991652322,1,4,1,1,0,0.948525450017634,0,0.878230473684785,0.449129967535423,1,1,1,6,4,-1.21199556372061,0.480500558114486,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"15",0,0,0.16244886619602,1,0.83085964709626,0.40683799844656,3,3,1,1,0,-0.213404119688679,0,-1.36410848692581,0.294172406821157,1,2,1,8,4,0.432024720750053,-1.30659516563672,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"16",5.028,0,-0.530676088215389,2,0.450091087715552,0.40683799844656,2,6,2,2,3,1.1809113639589,0,0.130784153481255,0.341587972553955,2,2,1,7,2,0.199182527962565,0.123081413364244,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"17",0,0,1.92676693197052,2,1.19946256101264,0.163543345951597,3,1,2,1,3,0.948525450017634,0,0.130784153481255,0.663769491114195,2,1,1,1,5,-1.21199556372061,0.301790985739365,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",0,0,2.55688052688998,1,-0.565230616100482,0.163543345951597,5,2,1,2,0,-1.14294777545373,2,-0.248967925880803,-0.0750345482874794,2,1,2,3,3,-1.21199556372061,-0.770466448511361,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"19",0,0,0.918585180099375,1,-1.24275095867466,-1.05292991652322,1,5,1,1,3,0.0189817942525836,0,-2.60985235393169,-3.18606828074367,1,2,1,5,1,-0.375312401467669,-0.59175687613624,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"20",0,0,0.603528382639644,1,-0.34901047482957,0.163543345951597,1,5,1,1,0,-0.678175947571204,3,0.379932926882431,0.288282819124885,1,1,2,3,2,0.204812144500806,0.837919702864728,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"21",44.857,0,0.729551101623536,1,0.242078557631031,-1.05292991652322,2,3,2,1,4,1.64568319184142,0,0.379932926882431,0.500330303219588,2,1,1,7,3,-1.21199556372061,-1.30659516563672,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"22",0,0,0.540517023147697,1,0.111312635428675,0.163543345951597,1,3,1,1,0,-0.32959707665931,0,0.130784153481255,0.346927137148184,2,2,1,6,4,0.292944222045226,1.37404841999009,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"23",0,0,-0.404653369231497,1,-0.732296148559208,0.40683799844656,1,5,1,1,0,-1.25914073242436,3,0.629081700283608,0.116891927394137,1,2,1,6,4,-0.492633923316068,2.08888670949058,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"24",0,0,0.918585180099375,1,0.425771751558011,-0.32304595903833,2,3,1,1,0,-1.60771960333625,2,0.379932926882431,-0.121665268363191,1,2,1,3,1,-0.477585073543469,-0.234337731385998,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"25",8.935,0,-0.278630650247604,2,-0.656448598558851,0.163543345951597,1,5,1,1,0,-1.95629847424815,1,0.629081700283608,0.222064990840113,1,2,1,2,3,0.123750364222077,-1.30659516563672,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"26",0,0,1.17063061806716,2,1.09742083521426,-1.05292991652322,1,1,2,1,3,-0.213404119688679,0,0.629081700283608,0.153339996916499,2,2,1,2,1,0.150536052334137,-1.30659516563672,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"27",8.25,0,0.16244886619602,1,-0.270775430770014,0.163543345951597,2,5,1,1,5,0.367560665164478,0,0.878230473684785,0.539323168128147,1,2,1,6,4,1.00308237387947,1.01662927523985,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"28",0,0,-0.278630650247604,1,0.627407055187965,1.13672195593145,1,3,1,1,1,0.251367708193846,0,0.130784153481255,0.241878001608012,1,1,1,2,1,-1.21199556372061,-0.59175687613624,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"29",3.338,2,-1.60186919957848,1,-1.26918972273906,0.163543345951597,1,5,1,1,0,-0.0972111627180477,2,-2.60985235393169,-3.18606828074367,1,2,1,5,3,-0.567259619040648,0.480500558114486,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"30",2.119,0,-1.66488055907042,2,1.04319246707866,-1.05292991652322,1,1,1,1,2,0.135174751223215,0,0.878230473684785,0.460235742570984,2,2,1,8,2,0.412833913886036,0.659210130489607,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"31",0,0,-1.09777832364291,2,-0.248322675900548,-1.05292991652322,2,4,1,1,0,1.76187614881205,0,0.379932926882431,0.161185087486276,1,2,1,2,3,0.218811802874067,-1.30659516563672,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"32",0,0,-0.404653369231497,1,0.379718420598073,0.893427303436486,3,5,1,1,2,-1.37533368939499,1,0.629081700283608,0.462119470438192,1,2,1,8,2,0.557238667453177,1.19533884761497,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"33",0,0,-0.467664728723443,1,-0.434474641209205,-1.05292991652322,1,5,1,1,0,-1.49152664636562,1,-0.367513393321099,0.0827452041073,1,2,1,3,3,-0.286827983527949,-1.30659516563672,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"34",0,1,-1.09777832364291,1,0.807533543996529,2.83978452339619,3,3,1,1,0,-0.0972111627180477,2,1.62567679388831,0.234860074511396,2,2,1,7,2,0.505687352727478,0.659210130489607,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"35",0,0,-0.467664728723443,1,-0.123803886506671,0.163543345951597,1,5,1,1,3,-1.14294777545373,0,-0.616662166722275,0.422425104271742,1,1,1,3,2,-1.21199556372061,0.659210130489607,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"36",38.127,0,-1.16078968313485,1,0.104647077014632,0.163543345951597,3,5,1,2,4,-0.561982990600573,2,-2.60985235393169,-0.041458556448581,1,2,1,5,4,-0.438592736463582,0.659210130489607,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"37",0,0,-0.404653369231497,2,0.937986324631035,-0.32304595903833,1,1,1,1,5,1.06471840698827,0,0.379932926882431,0.107144025872436,2,2,1,2,1,0.028493180906031,-0.831849279798615,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,-0.215619290755658,1,0.288319071518955,-1.05292991652322,3,3,1,1,1,0.483753622135109,0,-1.36410848692581,0.267076720728457,2,2,1,3,2,0.0677360711559095,-1.30659516563672,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"39",0,2,-1.79090327805431,2,1.13487663883171,-0.32304595903833,2,3,1,1,0,-1.0267548184831,2,0.379932926882431,0.662976944156367,1,1,2,2,2,1.48297782206488,0.123081413364244,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"40",0,0,0.225460225687966,1,-3.42348824198035,-0.32304595903833,2,5,1,1,1,0.832332493047003,0,-0.616662166722275,0.283512041495839,1,2,1,8,2,0.591517473022603,0.301790985739365,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"41",1.431,0,-1.34982376161069,2,1.0523613453703,0.163543345951597,1,1,1,1,5,-0.445790033629942,0,-0.865810940123452,0.524581852327284,2,1,1,1,4,1.02820815895765,1.19533884761497,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"42",0,0,0.288471585179912,2,0.361858462266617,-0.32304595903833,3,6,2,1,0,-0.678175947571204,0,-0.118364619919922,0.129373533227649,2,2,1,2,2,0.376190512774817,0.837919702864728,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"43",0,0,1.98977829146246,1,-7.11518881484819e-05,-1.05292991652322,1,3,1,1,0,1.29710432092953,0,-2.60985235393169,-3.18606828074367,1,2,1,5,5,-0.712243776813393,0.659210130489607,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"44",0,0,-0.971755604659013,1,0.476678809635479,-1.05292991652322,1,3,1,1,0,0.483753622135109,0,0.379932926882431,0.611658090836964,1,1,1,4,5,1.23074124796276,1.01662927523985,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"45",0,0,0.855573820607429,1,-0.141929989981099,-1.05292991652322,1,5,1,1,2,-0.794368904541836,0,0.130784153481255,0.159189581085329,1,2,1,3,3,-0.125041103792666,0.123081413364244,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"46",0,0,0.288471585179912,2,1.25989937865818,0.163543345951597,2,6,1,1,0,-0.213404119688679,2,1.62567679388831,0.706628943276029,1,2,1,1,4,2.06700160174135,1.19533884761497,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"47",0,0,-0.719710166691228,1,1.4928216865913,-0.32304595903833,3,4,1,1,3,0.59994657910574,0,-0.616662166722275,0.764149366994753,1,1,1,4,5,-1.21199556372061,-1.30659516563672,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"48",0,0,-1.47584648059458,1,0.326485614204756,-1.05292991652322,1,5,1,1,0,2.11045501972395,0,1.12737924708596,0.633490713620865,1,2,1,4,5,1.47683143961354,0.480500558114486,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"49",0,0,0.918585180099375,2,-0.556732111194224,-1.05292991652322,1,5,1,1,1,0.832332493047003,0,-2.60985235393169,-3.18606828074367,1,1,1,9,3,-0.523561580236863,-0.413047303761119,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"50",0,0,-0.719710166691228,2,-1.12898553663787,-1.05292991652322,1,2,1,1,0,-1.14294777545373,0,-0.865810940123452,-0.229075565690691,2,2,1,9,2,-1.21199556372061,-0.234337731385998,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"51",0,0,0.414494304163805,1,0.876499148275619,-1.05292991652322,1,4,1,1,0,-0.213404119688679,0,0.629081700283608,0.439741590523489,1,2,1,7,2,0.906392339622536,-0.055628159010877,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"52",0,0,0.66653974213159,1,0.660592070930381,-0.32304595903833,1,3,1,1,0,-0.445790033629942,0,-0.118364619919922,0.101753730447897,1,1,1,3,3,-1.21199556372061,-1.30659516563672,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"53",0,0,-1.79090327805431,2,1.25025518980704,-0.32304595903833,1,1,2,1,1,-0.561982990600573,0,0.130784153481255,0.32983328275525,2,2,1,3,2,0.247617587636498,-0.59175687613624,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"54",0,0,1.80074421298662,2,-1.66072048668906,0.163543345951597,1,3,2,1,2,-1.60771960333625,1,0.379932926882431,0.0157864139780988,2,2,1,9,2,-0.00234834836257861,-0.59175687613624,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"55",2.981,0,0.0994375067040735,2,0.607316495618103,0.163543345951597,1,5,1,1,5,0.251367708193846,0,-0.616662166722275,-0.131643688735068,1,2,1,9,3,-1.21199556372061,-0.0128452507785352,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"56",0,0,0.16244886619602,1,1.24810398341087,1.13672195593145,1,3,2,1,0,0.948525450017634,0,0.386647971994075,0.583202518797861,2,2,1,8,4,1.47910207771658,1.19533884761497,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"57",0,0,-0.026585212279819,1,-1.8649231646999,0.163543345951597,2,5,1,1,0,-0.678175947571204,3,-0.865810940123452,0.117214054924627,1,2,1,3,3,0.223854185420141,-0.59175687613624,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"58",0,0,0.414494304163805,1,-0.117380564261871,3.08307917589115,2,3,2,1,3,-1.37533368939499,3,0.878230473684785,0.0966423601917914,2,2,1,3,1,-0.0148681770755786,-1.30659516563672,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"59",0,0,-1.47584648059458,1,1.38708534038284,-1.05292991652322,1,3,2,1,0,1.64568319184142,0,-1.36410848692581,0.581365818687914,2,1,1,6,4,0.0398925461762596,0.908052432596923,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"60",0,0,-0.593687447707335,2,0.9015173282927,-1.05292991652322,1,3,1,1,2,-0.32959707665931,0,-0.0970008829574948,0.296832664148897,2,2,1,2,3,0.168200062535836,0.480500558114486,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"61",26.104,0,-0.84573288567512,2,-0.122517122073323,-0.32304595903833,1,2,2,2,13,-0.561982990600573,0,0.130784153481255,-0.16499934629478,2,1,1,2,1,-1.21199556372061,-0.413047303761119,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"62",0,0,-0.278630650247604,1,0.143137239172091,-1.05292991652322,3,3,2,2,2,-0.445790033629942,2,-0.865810940123452,-0.147098035774893,1,1,2,3,1,-0.0468058764628998,-1.30659516563672,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"63",0,1,1.80074421298662,2,-0.543229286380716,-0.32304595903833,2,4,1,1,0,-0.910561861512467,2,0.629081700283608,0.229410573005817,1,1,2,2,3,-1.21199556372061,-0.234007297592839,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"64",2.045,0,-1.16078968313485,1,-0.332755033090565,0.163543345951597,2,3,1,1,2,-1.0267548184831,3,0.379932926882431,0.319630906882718,2,2,1,6,4,-0.132769103129583,1.37404841999009,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"65",7.838,0,0.225460225687966,1,-0.359442996273437,-1.05292991652322,2,5,1,1,1,-0.0972111627180477,2,1.12737924708596,-0.180511377076473,1,2,1,5,3,-0.161520079386078,-1.30659516563672,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"66",0,0,-0.215619290755658,1,0.784579091176231,1.86660591341634,3,3,2,1,0,1.29710432092953,0,1.37652802048714,0.228308850147597,2,2,1,7,2,0.0787604106355242,-0.413047303761119,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"67",27.877,1,1.04460789908327,1,1.40715589325104,0.163543345951597,2,6,1,2,0,0.0189817942525836,1,0.878230473684785,0.373202903322616,1,2,1,6,4,0.32552396393065,0.837919702864728,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"68",0,0,-0.467664728723443,1,0.16578724177466,-0.32304595903833,3,3,2,2,0,-1.25914073242436,3,0.379932926882431,-0.0507702006356225,2,2,1,3,3,-0.241978966099516,-1.30659516563672,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"69",1.554,0,-1.2238010426268,2,1.21162695467151,1.86660591341634,2,1,2,1,1,0.367560665164478,0,0.123032513295143,0.482253728896594,2,2,1,8,2,0.768126138720181,0.301790985739365,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"70",0,1,-0.593687447707335,1,0.114634852993077,-0.32304595903833,1,3,1,1,0,-0.0972111627180477,2,0.116084359104828,-0.0237359216257506,2,1,2,3,2,-1.21199556372061,0.301790985739365,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"71",7.896,0,0.792562461115482,1,-1.02746196184642,1.86660591341634,1,5,1,1,0,-1.37533368939499,4,0.379932926882431,-0.0824147141903329,1,2,1,5,3,-0.616759529687043,-1.30659516563672,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"72",0,0,-0.84573288567512,1,-0.43290705818755,-0.32304595903833,1,5,1,2,0,-1.49152664636562,3,0.878230473684785,0.311729778081458,1,2,1,8,3,-0.0627081729707816,-0.055628159010877,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"73",24.767,0,-1.28681240211874,1,-2.37563757864992,-0.32304595903833,2,4,1,2,2,-1.25914073242436,0,-0.616662166722275,-0.237956277380846,1,1,1,3,1,-0.530537920063806,0.301790985739365,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"74",0,1,0.0994375067040735,1,0.849690674304508,1.13672195593145,2,2,1,1,2,-0.794368904541836,4,0.379932926882431,-1.00309183254715,1,2,1,5,1,-0.641290250986498,-1.30659516563672,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"75",0,0,0.603528382639644,1,-0.482243577817482,-0.0797513065433663,1,5,1,1,4,-1.14294777545373,2,0.379932926882431,-0.0641725968229123,1,1,2,2,1,-1.21199556372061,-0.770466448511361,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"76",25.276,2,-0.404653369231497,1,-3.42348824198035,-0.32304595903833,1,4,1,1,8,-0.0972111627180477,2,0.878230473684785,0.235644869481166,1,2,1,2,1,0.0143290970149635,-0.786192526503067,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"77",8.89,2,-0.278630650247604,1,0.612161682504197,-1.05292991652322,1,4,1,1,0,-0.213404119688679,3,0.130784153481255,0.682898195648557,1,1,2,7,4,-1.21199556372061,1.19533884761497,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"78",34.351,0,-0.152607931263712,2,1.47242203289197,-0.566340611533293,1,1,1,2,2,0.483753622135109,0,-0.367513393321099,0.533430310361226,2,1,1,1,5,-1.21199556372061,1.73146756474033,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"79",0,0,-1.28681240211874,1,0.0957155019513166,-0.566340611533293,1,3,1,2,2,0.135174751223215,0,-0.118364619919922,0.461772430392224,1,1,1,7,2,-1.21199556372061,0.480500558114486,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"80",4.307,0,-0.34164200973955,1,-0.400343590755316,-1.05292991652322,3,5,1,1,6,0.0189817942525836,1,0.130784153481255,0.80641340692568,1,2,1,6,5,2.77426622190725,2.08888670949058,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"81",0,0,-0.719710166691228,2,1.45411667703802,-0.32304595903833,1,1,2,2,1,0.135174751223215,0,0.878230473684785,0.770851286540723,2,1,1,1,4,1.90160519040088,0.659210130489607,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"82",25.106,0,-0.215619290755658,2,-0.302180763777913,1.86660591341634,2,2,2,1,0,0.0189817942525836,0,0.130784153481255,0.360162739769366,2,2,1,1,4,0.459898760911579,0.225448218937922,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"83",0,0,0.414494304163805,2,0.886689657452786,0.163543345951597,2,1,2,1,1,0.367560665164478,0,-0.367513393321099,0.357386203392512,2,2,1,1,4,0.318242262427779,1.55275799236521,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"84",0,0,-1.41283512110264,1,1.15784156394581,-1.05292991652322,1,5,1,1,0,2.11045501972395,0,-0.367513393321099,0.434795634175233,1,1,1,4,5,-1.21199556372061,1.73146756474033,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"85",0,0,-1.53885784008653,1,0.914211522984922,0.163543345951597,1,3,1,1,0,-0.0972111627180477,0,-0.367513393321099,0.436407511969222,1,2,1,8,2,0.596951344896789,-1.30659516563672,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"86",0,1,-0.530676088215389,1,-3.42348824198035,-1.05292991652322,1,3,2,1,2,0.0189817942525836,2,0.130784153481255,0.564347578880209,2,1,2,8,2,-1.21199556372061,0.480500558114486,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"87",42.342,0,1.48568741552689,1,-0.575489800933392,-0.32304595903833,1,4,1,2,2,1.99426206275332,0,1.12737924708596,0.189259274780486,1,2,1,3,3,0.418494849570526,-0.234337731385998,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"88",8.363,0,1.04460789908327,1,-0.665504866704201,-0.566340611533293,1,4,1,1,3,0.367560665164478,0,-2.60985235393169,-3.18606828074367,1,2,1,5,3,-0.437473076985184,-0.0917890036914936,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"89",2.718,1,0.603528382639644,2,-1.46785852150685,-1.05292991652322,1,5,1,1,1,-0.910561861512467,2,0.379932926882431,0.224929020136268,1,2,1,2,2,0.394762766500418,-0.949176020886482,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"90",0,0,0.981596539591321,1,-1.57422977172808,1.13672195593145,4,4,1,1,0,-1.14294777545373,0,-0.43615090683782,0.0572428813497542,1,1,1,3,1,-1.21199556372061,-1.30659516563672,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"91",1.212,0,-1.2238010426268,2,-0.496861777891002,1.86660591341634,3,2,1,1,4,0.367560665164478,0,0.379932926882431,0.0891594382366417,2,2,1,3,3,0.080623899837334,-1.30659516563672,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"92",8.35,0,-0.404653369231497,1,-0.310855801013674,-1.05292991652322,1,5,1,1,2,-0.678175947571204,0,0.130784153481255,0.113391757008904,1,1,1,3,2,-1.21199556372061,0.659210130489607,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"93",9.115,0,0.540517023147697,1,-1.14122738388321,1.13672195593145,1,5,1,1,6,0.483753622135109,0,-2.60985235393169,-3.18606828074367,1,2,1,8,4,0.0359862866460816,1.01662927523985,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"94",0,0,0.0994375067040735,2,0.804682488513678,1.13672195593145,1,4,1,1,0,-0.0972111627180477,2,1.12737924708596,0.689441902004206,1,1,2,2,3,1.26926379784892,-1.30659516563672,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"95",0,0,0.540517023147697,1,0.859366878824978,-1.05292991652322,1,3,1,1,0,0.59994657910574,0,0.629081700283608,0.753901319815975,1,1,1,6,5,2.2927421781169,1.01662927523985,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"96",0,0,1.04460789908327,1,-0.103340906156801,1.86660591341634,2,3,1,1,0,-1.72391256030689,1,-0.118364619919922,-0.154015303857018,1,1,2,2,1,-0.108167913751068,-0.413047303761119,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"97",0,0,1.73773285349468,1,0.0901074053446999,0.163543345951597,5,3,1,1,0,1.06471840698827,0,0.208751756013009,0.415698336339333,2,2,1,7,2,0.673675423420045,0.480500558114486,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
